County,Name,Type,City,Zip,Latitude,Longitude
Alameda,John Muir Middle,Middle,San Leandro,94577,37.71515,-122.1679
Alameda,East Bay Arts High,Alternative Schools of Choice,Hayward,94541,37.66953,-122.11493
Alameda,Royal Sunset (Continuation),Continuation,Hayward,94541,37.66907,-122.1147
Alameda,Colonial Acres Elementary,Elementary,Hayward,94541,37.68351,-122.11711
Alameda,Corvallis Elementary,Elementary,San Leandro,94579,37.69737,-122.15137
Alameda,Dayton Elementary,Elementary,San Leandro,94579,37.68778,-122.15688
Alameda,Hillside Elementary,Elementary,San Leandro,94578,37.70179,-122.11639
Alameda,Lorenzo Manor Elementary,Elementary,Hayward,94541,37.67477,-122.11906
Alameda,Washington Manor Middle,Middle,San Leandro,94579,37.68812,-122.14954
Alameda,John Green Elementary,Elementary,Dublin,94568,37.7187,-121.86254
Alameda,Harold William Kolb,Elementary,Dublin,94568,37.71218,-121.85867
Alameda,Eleanor Murray Fallon,Middle,Dublin,94568,37.71569,-121.86589
Alameda,J. M. Amador Elementary,Elementary,Dublin,94568,37.71876,-121.84304
Alameda,Dublin High,High,Dublin,94568,37.71957,-121.92518
Alameda,Cottonwood Creek,Elementary,Dublin,94568,37.70926,-121.84657
Alameda,Dublin Unified Transition Program,Special Education,Dublin,94568,37.70974,-121.92091
Alameda,Valley High (Continuation),Continuation,Dublin,94568,37.70974,-121.92091
Alameda,Dublin Elementary,Elementary,Dublin,94568,37.71459,-121.93606
Alameda,Frederiksen Elementary,Elementary,Dublin,94568,37.71523,-121.92296
Alameda,Murray Elementary,Elementary,Dublin,94568,37.72184,-121.93257
Alameda,Wells Middle,Middle,Dublin,94568,37.71184,-121.91895
Alameda,James Dougherty Elementary,Elementary,Dublin,94568,37.70995,-121.88388
Alameda,Latitude 37.8 High,High,Oakland,94601,37.77741,-122.23068
Contra Costa,CCCOE Special Education Programs,Special Education,Antioch,94509,38.00244,-121.851
Contra Costa,Making Waves Academy,K-12,Richmond,94806,37.9887,-122.33271
Contra Costa,Mt. McKinley,Juvenile Court,Martinez,94553,37.98823,-122.08805
Contra Costa,Caliber: Beta Academy,Elementary,Richmond,94804,37.92327,-122.32902
Contra Costa,Golden Gate Community,County Community,Pittsburg,94565,38.003837,-121.8743232
Contra Costa,Clayton Valley Charter High,High,Concord,94521,37.9497,-121.96905
Contra Costa,Floyd I. Marchus,Special Education,Concord,94520,37.99498,-122.04682
Contra Costa,Manzanita Middle,Middle,Richmond,94804,37.93661,-122.33756
Contra Costa,Lone Tree Elementary,Elementary,Antioch,94531,37.96257,-121.78906
Contra Costa,Dallas Ranch Middle,Middle,Antioch,94531,37.96851,-121.79813
Contra Costa,Carmen Dragon Elementary,Elementary,Antioch,94531,37.96593,-121.75349
Contra Costa,Bidwell Continuation High,Continuation,Antioch,94509,37.9999,-121.79214
Contra Costa,Antioch Charter Academy II,Elementary,Antioch,94509,38.01099,-121.82098
Contra Costa,Dozier-Libbey Medical High,Alternative Schools of Choice,Antioch,94531,37.94836,-121.76842
Contra Costa,Rocketship Delta Prep,Elementary,Antioch,94509,38.00583,-121.79726
Contra Costa,Live Oak High (Continuation),Continuation,Antioch,94509,38.00551,-121.81308
Contra Costa,Prospects High (Alternative),Alternative Schools of Choice,Antioch,94509,38.01713,-121.81617
Contra Costa,Deer Valley High,High,Antioch,94531,37.9636,-121.77516
Contra Costa,Antioch High,High,Antioch,94509,38.00628,-121.8163
Contra Costa,Belshaw Elementary,Elementary,Antioch,94509,37.99561,-121.80049
Contra Costa,Fremont Elementary,Elementary,Antioch,94509,38.00786,-121.81156
Contra Costa,Kimball Elementary,Elementary,Antioch,94509,38.00762,-121.80174
Contra Costa,Marsh Elementary,Elementary,Antioch,94509,37.99986,-121.81622
Contra Costa,Sutter Elementary,Elementary,Antioch,94509,37.98501,-121.81271
Contra Costa,Turner Elementary,Elementary,Antioch,94509,38.00249,-121.85092
Contra Costa,Antioch Middle,Middle,Antioch,94509,38.00667,-121.81106
Contra Costa,Park Middle,Middle,Antioch,94509,37.99309,-121.81347
Contra Costa,Mission Elementary,Elementary,Antioch,94509,37.99685,-121.8323
Contra Costa,Muir (John) Elementary,Elementary,Antioch,94509,37.97684,-121.79568
Contra Costa,Jack London Elementary,Elementary,Antioch,94531,37.97136,-121.77608
